Request Index,Meal Tag Input,Execution Mode,Cache Status (HIT/MISS),Prompt Tokens,Completion Tokens,Total Tokens,LLM Inference Cost ($),AWS Egress Fee ($),Total Transaction Cost ($),Carbon Footprint (g CO2e),AWS Hosting Grid Region,File Size (KB),S3 Expiration TTL (Days),AI Identified Meal,Calories (kcal),Protein (g),Carbs (g),Fat (g),AI Nutrition Breakdown / Explanation
1,Meal (Pomegranate),Control,MISS,504,186,690,9.36e-05,4.11e-06,9.771e-05,732.9488,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
2,Pepperoni Pizza Slice,Control,MISS,474,180,654,8.955e-05,4.11e-06,9.366e-05,730.455,us-east-1,47.94,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
3,Meal (Pot),Control,MISS,484,211,695,9.96e-05,3.82e-06,0.00010342,725.3012,us-east-1,44.54,Infinite,Meal (Pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
4,Pepperoni Pizza Slice,Control,MISS,512,190,702,9.54e-05,2.36e-06,9.776e-05,685.3062,us-east-1,27.49,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
5,Meal (Ping-pong ball),Control,MISS,514,203,717,9.945e-05,9.6e-07,0.00010041000000000001,647.6387,us-east-1,11.18,Infinite,Meal (Ping-pong ball),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Ping-pong ball)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
6,Meal (Handkerchief),Control,MISS,496,193,689,9.51e-05,5.6e-06,0.0001007,774.0362,us-east-1,65.24,Infinite,Meal (Handkerchief),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Handkerchief)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
7,Meal (Hot pot),Control,MISS,497,210,707,0.00010028,4.65e-06,0.00010493,749.0037,us-east-1,54.16,Infinite,Meal (Hot pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Hot pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
8,Meal (Acorn squash),Control,MISS,510,218,728,0.00010365,4.7e-06,0.00010835,751.9725,us-east-1,54.78,Infinite,Meal (Acorn squash),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Acorn squash)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
9,Meal (Plate),Control,MISS,478,195,673,9.435e-05,3.47e-06,9.782000000000001e-05,714.02,us-east-1,40.45,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
10,Meal (Burrito),Control,MISS,487,198,685,9.592e-05,3.3e-06,9.922e-05,710.0538,us-east-1,38.42,Infinite,Meal (Burrito),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Burrito)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
